RecipeID,recipe_name,Description,ingredients_list,Procedure,Region,nutritional_value,recipe_type,image_url
87,Missi Roti,A flavorful Indian flatbread.,"Gram flour (besan), whole wheat flour, chopped onions, green chilies, coriander leaves, carom seeds (ajwain), salt, and water.","Mix gram flour, wheat flour, onions, chilies, and spices. Knead into a soft dough. Roll into flat discs and cook on a hot tawa with oil until golden brown. Serve hot with curd or pickle.",North Indian,Calories: 400 Carbohydrates: 32g Fats: 18g Proteins: 20g Cholesterol: 75mg,Veg,https://maryzkitchen.com/wp-content/uploads/2023/07/IMG-20230715-WA0032-678x470.jpg
88,Herbed rice,"A fragrant, flavorful dish.","Basmati rice, mixed herbs (like parsley, thyme, or basil),oregano,chilli flakes, garlic, olive oil, butter, salt, and black pepper.","Cook rice until fluffy. Sauté minced garlic in butter and olive oil, then add chopped herbs. Toss the cooked rice with the garlic-herb mixture, season with oregano,chilli flakes, salt and pepper, and serve warm.",North Indian,Calories: 240 Carbohydrates: 30g Fats: 8g Proteins: 10g Cholesterol: 0mg,Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Farrukh_Aziz_Ansari/Buttered_Herbed_Rice.jpg
89,Masala Maggi,"Spicy, quick, and delicious","Maggi noodles, Maggi tastemaker, mixed vegetables (carrots, peas, beans, capsicum), onion, tomato, green chilies, garlic, oil, water, and  spices like chili powder,coriander powder, garam masala.","Sauté chopped garlic, onion, and green chilies in oil. Add diced vegetables and cook until tender. Stir in the Maggi tastemaker and spices like chilli powder,coriander powder,garam masala. Pour water, bring to a boil, and add noodles. Cook until noodles are soft and water is absorbed. Serve hot!",South Indian,Calories: 360 Carbohydrates: 18g Fats: 28g Proteins: 8g Cholesterol: 40mg,Veg,https://yummyindiankitchen.com/wp-content/uploads/2021/05/egg-maggi-masala-1152x1536.jpg
90,Bajji,A crispy fritter snack.,"Vegetables (like banana peppers, potatoes, or eggplant), gram flour, rice flour, chili powder, turmeric, salt, and oil.","Slice vegetables, dip in spiced gram flour batter, and deep-fry until golden and crispy. Serve hot.",South Indian,Calories: 350 Carbohydrates: 12g Fats: 20g Proteins: 25g Cholesterol: 65mg,Veg,https://www.crunchykitchen.com/wp-content/uploads/2020/06/banana-bajji-re-Copy.jpg
91,Bonda,A crispy fried snack.,"Boiled potatoes, gram flour, rice flour, green chilies, curry leaves, mustard seeds, turmeric, and oil.","Make a spiced potato filling. Dip in gram flour batter, deep-fry until golden, and serve hot.",South Indian,Calories: 220 Carbohydrates: 30g Fats: 8g Proteins: 4g Cholesterol: 0mg,Veg,https://i0.wp.com/kalimirchbysmita.com/wp-content/uploads/2016/07/Mysore-Bonda-02.jpg
92,Honey Chilli Paneer,A sweet-spicy appetizer.,"Paneer cubes, cornflour, soy sauce, honey, chili sauce, bell peppers, sesame seeds, garlic, and oil.","Coat paneer with cornflour, fry until crisp. Stir-fry garlic, bell peppers, add sauces, honey, fried paneer, and sesame seeds. Toss well and serve hot.",North Indian,Calories: 320 Carbohydrates: 6g Fats: 20g Proteins: 25g Cholesterol: 70mg,Veg,https://speakingaloud.in/wp-content/uploads/2017/11/Honey-Chili-Paneer-e1710933673849.jpg
93,Rava dosa,A crispy dosa.,"Semolina (rava), rice flour, all-purpose flour, green chilies, cumin seeds, ginger, coriander, curry leaves, and water.","Mix all ingredients into a thin batter. Pour onto a hot pan, cook until crispy, and serve hot with chutney or sambar.",South Indian,Calories: 300 Carbohydrates: 40g Fats: 8g Proteins: 12g Cholesterol: 0mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2013/05/rava-dosa-recipe.jpg
94,Bhel puri,A tangy snack,"Puffed rice, sev, chopped onions, tomatoes, boiled potatoes, tamarind chutney, green chutney, coriander, and spices like chaat masala.","Mix puffed rice with veggies, chutneys, and spices. Toss well, garnish with sev and coriander, and serve immediately.",South Indian,Calories: 450 Carbohydrates: 6g Fats: 35g Proteins: 25g Cholesterol: 95mg,Veg,https://shwetainthekitchen.com/wp-content/uploads/2022/01/bhel-puri.jpg
95,Paddu,A crispy rice snack,"Dosa batter, chopped onions, green chilies, coriander, curry leaves, and oil for cooking.","Mix onions, chilies, and coriander into dosa batter. Pour into a paddu pan, cook on both sides until golden, and serve hot with chutney.",South Indian,Calories: 420 Carbohydrates: 12g Fats: 30g Proteins: 12g Cholesterol: 50mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2023/09/appe-recipe.jpg
96,Khichdi,A wholesome rice-lentil dish.,"Rice, moong dal, ghee, cumin seeds, turmeric, green chilies, ginger, and vegetables like carrots and peas.","Cook rice and moong dal with vegetables, spices, and water until soft. Add ghee, mix well, and serve warm.",North Indian,Calories: 450 Carbohydrates: 10g Fats: 28g Proteins: 32g Cholesterol: 85mg,Veg,https://carveyourcraving.com/wp-content/uploads/2023/01/Daliya-khichdi.jpg
97,Masala oats,Savory oatmeal dish.,"Oats, mixed vegetables (carrots, peas, beans), green chilies, ginger, curry leaves, mustard seeds, turmeric, and spices like garam masala.","Saute spices and vegetables, add oats and water, cook until soft and flavorful. Serve hot.",Healthy recipe,Calories: 250 Carbohydrates: 30g Fats: 10g Proteins: 8g Cholesterol: 0mg,Veg,https://rakskitchen.net/wp-content/uploads/2021/07/vegetable-masala-oats.jpg
98,Ragi malt,A nutritious drink.,"Ragi flour, water, milk (optional), jaggery or sugar, and cardamom powder.","Mix ragi flour in water, cook until thick. Add jaggery, milk, and cardamom powder. Stir well and serve warm or chilled.",South Indian,Calories: 430 Carbohydrates: 50g Fats: 12g Proteins: 14g Cholesterol: 190mg,Veg,https://i0.wp.com/delishbite.in/wp-content/uploads/2023/02/blog_1.jpg
99,Butter Milk,A refreshing drink.,"Yogurt, water, green chilies, ginger, curry leaves, coriander, salt, and cumin powder.","Blend yogurt and water. Add chopped chilies, ginger, salt, cumin, and coriander. Mix well, garnish with curry leaves, and serve chilled.",South Indian,Calories: 400 Carbohydrates: 8g Fats: 30g Proteins: 28g Cholesterol: 80mg,Veg,https://i0.wp.com/delishbite.in/wp-content/uploads/2023/07/Blog_1.jpg
100,Bread upma,Savory bread dish.,"Bread slices, onions, tomatoes, green chilies, mustard seeds, curry leaves, turmeric, and spices.","oast bread and cut into pieces. Saute onions, tomatoes, and spices, add bread pieces, mix well, and cook until crispy. Serve hot.",South Indian,Calories: 450 Carbohydrates: 18g Fats: 32g Proteins: 12g Cholesterol: 55mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2018/12/bread-upma-recipe-1.jpg
